name,average,total_points,rank_average,rank_total,gp,pts,treb,ast,stl,blk,fgm,ftm,to,dd,td,draft_order,diff_average,diff_total
Aaron Gordon,37.8,2570.4,73,68,68,16.3,6.6,3,0.8,0.8,6.3,2.8,1.4,0.2,0,97,-24,-29
Aaron Nesmith,21.9,1598.7,199,158,73,10.1,3.8,1.3,0.8,0.5,3.5,1.6,1,0,0,NA,NA,NA
Al Horford,25.7,1619.1,153,155,63,9.8,6.2,3,0.5,1,3.6,0.2,0.6,0.1,0,NA,NA,NA
Alec Burks,25.7,1310.7,154,180,51,12.8,3.1,2.2,0.7,0.2,3.9,3,1.1,0,0,NA,NA,NA
Alperen Sengun,39.4,2955,65,40,75,14.8,9,3.9,0.9,0.9,5.9,2.8,2.6,0.4,0,55,10,-15
Andrew Nembhard,22.2,1665,196,150,75,9.5,2.7,4.5,0.9,0.2,3.8,0.7,1.7,0.1,0,NA,NA,NA
Andrew Wiggins,35.6,1317.2,88,178,37,17.1,5,2.3,1.2,0.8,6.8,1.2,1.3,0.1,0,76,12,102
Anfernee Simons,37.6,2331.2,75,89,62,21.1,2.6,4.1,0.7,0.2,7.5,2.6,2.1,0,0,81,-6,8
Anthony Davis,64.5,3612,5,18,56,25.9,12.6,2.6,1.1,2,9.7,6.2,2.2,0.7,0,30,-25,-12
Anthony Edwards,49.6,3918.4,32,10,79,24.6,5.8,4.4,1.6,0.7,9,4,3.3,0.1,0,22,10,-12
Austin Reaves,27.2,1740.8,143,145,64,13,3,3.4,0.5,0.3,4.1,3.6,1.5,0,0,NA,NA,NA
Bam Adebayo,48.6,3645,34,16,75,20.4,9.2,3.2,1.2,0.8,8,4.3,2.5,0.4,0,17,17,-1
Ben Simmons,24.9,1045.8,160,192,42,6.9,6.3,6.1,1.3,0.5,3.2,0.6,2.3,0.1,0,87,73,105
Bennedict Mathurin,32.1,2503.8,103,74,78,16.7,4.1,1.5,0.6,0.2,5.3,4.8,1.9,0,0,96,7,-22
Bobby Portis,34.8,2436,92,80,70,14.1,9.6,1.5,0.4,0.2,5.7,1.4,1.2,0.5,0,86,6,-6
Bogdan Bogdanovic,27.2,1468.8,142,168,54,14,3.1,2.8,0.8,0.3,5.1,1.2,1.2,0,0,NA,NA,NA
Bojan Bogdanovic,38.9,2295.1,67,90,59,21.6,3.8,2.6,0.6,0.1,7.3,4.5,2.3,0,0,NA,NA,NA
Bol Bol,22.9,1603,188,157,70,9.1,5.8,1,0.4,1.2,3.7,1.2,1.6,0.1,0,NA,NA,NA
Bradley Beal,45.5,2275,38,92,50,23.2,3.9,5.4,0.9,0.7,8.9,3.8,2.9,0,0,44,-6,48
Brandon Clarke,24.8,1388.8,162,172,56,10,5.5,1.3,0.6,0.7,4.1,1.8,1,0.1,0,NA,NA,NA
Brandon Ingram,49.7,2236.5,31,96,45,24.7,5.5,5.8,0.7,0.4,9,5.3,3.3,0.1,0,38,-7,58
Brook Lopez,37,2886,80,48,78,15.9,6.7,1.3,0.5,2.5,6.1,1.9,1.4,0.1,0,NA,NA,NA
Bruce Brown,26.9,2152,145,106,80,11.5,4.1,3.4,1.1,0.6,4.5,1.5,1.5,0,0,NA,NA,NA
Buddy Hield,33.1,2648,97,62,80,16.8,5,2.8,1.2,0.3,5.9,1.3,1.7,0,0,80,17,-18
Cade Cunningham,43.9,526.8,43,197,12,19.9,6.2,6,0.8,0.6,7.8,3,3.3,0.3,0,16,27,181
